Index,Date,Route,Classification,Donor,Aid (tons)
18440,18 Mar 2024,Land Crossings,Essential infrastructure equipment,UNICEF,-
18441,18 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
18442,18 Mar 2024,Land Crossings,Medical Supplies,ICRC,20
18443,18 Mar 2024,Land Crossings,Essential infrastructure equipment,UNICEF,-
18444,18 Mar 2024,Land Crossings,Food,UNRWA,30
18445,18 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
18446,18 Mar 2024,Land Crossings,Food,WFP,30
18447,18 Mar 2024,Land Crossings,Essential infrastructure equipment,UNICEF,-
18448,18 Mar 2024,Land Crossings,Essential infrastructure equipment,UNICEF,-
18449,18 Mar 2024,Land Crossings,Food,WFP,30
18450,18 Mar 2024,Land Crossings,Food,WFP,15
18451,18 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
